name,shortName,gps,catalog,final_status,data_type,reconstruction_error,prediction,true_label,network_matched_filter_snr,mass_1_source,mass_2_source,total_mass_source,chirp_mass_source,luminosity_distance,far,p_astro,filename
,,1369694496.1,,TP,Signal,0.8913390273870545,1,1,,,,,,,,,H1_1369694496.1_32s_cwt.npy
,,1369849678.9,,TP,Signal,0.8473370981860776,1,1,,,,,,,,,H1_1369849678.9_32s_cwt.npy
,,1369983225.5,,TP,Signal,0.7795843599334995,1,1,,,,,,,,,H1_1369983225.5_32s_cwt.npy
,,1370054747.5,,TP,Signal,0.9183831077758499,1,1,,,,,,,,,H1_1370054747.5_32s_cwt.npy
,,1370880508.0,,TP,Signal,0.8556936035313559,1,1,,,,,,,,,H1_1370880508.0_32s_cwt.npy
,,1371119152.0,,TP,Signal,0.8920146719228937,1,1,,,,,,,,,H1_1371119152.0_32s_cwt.npy
,,1371641465.7,,TP,Signal,0.8448593344487008,1,1,,,,,,,,,H1_1371641465.7_32s_cwt.npy
,,1371678586.5,,TP,Signal,0.8170841174218578,1,1,,,,,,,,,H1_1371678586.5_32s_cwt.npy
,,1371763017.0,,TP,Signal,0.852669484900642,1,1,,,,,,,,,H1_1371763017.0_32s_cwt.npy
,,1371866019.8,,TP,Signal,0.7950735682143595,1,1,,,,,,,,,H1_1371866019.8_32s_cwt.npy
,,1372029122.4,,TP,Signal,0.8651235419830707,1,1,,,,,,,,,H1_1372029122.4_32s_cwt.npy
,,1372144021.0,,TP,Signal,0.8672374714421786,1,1,,,,,,,,,H1_1372144021.0_32s_cwt.npy
,,1372165088.9,,TP,Signal,0.8209381027066254,1,1,,,,,,,,,H1_1372165088.9_32s_cwt.npy
,,1372203934.4,,TP,Signal,0.8485128330986444,1,1,,,,,,,,,H1_1372203934.4_32s_cwt.npy
,,1372359295.7,,TP,Signal,0.8644858398602799,1,1,,,,,,,,,H1_1372359295.7_32s_cwt.npy
,,1372471933.2,,TP,Signal,0.8737347319152058,1,1,,,,,,,,,H1_1372471933.2_32s_cwt.npy
,,1372675415.2,,TP,Signal,0.9194688420037018,1,1,,,,,,,,,H1_1372675415.2_32s_cwt.npy
,,1372768849.3,,TP,Signal,0.827209756811187,1,1,,,,,,,,,H1_1372768849.3_32s_cwt.npy
,,1372829827.1,,TP,Signal,0.9002398360400152,1,1,,,,,,,,,H1_1372829827.1_32s_cwt.npy
,,1372835941.4,,TP,Signal,0.8774685266678366,1,1,,,,,,,,,H1_1372835941.4_32s_cwt.npy
,,1372892977.5,,TP,Signal,0.8979546593705567,1,1,,,,,,,,,H1_1372892977.5_32s_cwt.npy
,,1372919687.1,,TP,Signal,0.82661059984839,1,1,,,,,,,,,H1_1372919687.1_32s_cwt.npy
,,1372940849.2,,TP,Signal,0.8429350850613424,1,1,,,,,,,,,H1_1372940849.2_32s_cwt.npy
,,1373187847.9,,TP,Signal,0.8263545104896203,1,1,,,,,,,,,H1_1373187847.9_32s_cwt.npy
,,1373624501.1,,TP,Signal,0.870159635200087,1,1,,,,,,,,,H1_1373624501.1_32s_cwt.npy
,,1374013596.8,,TP,Signal,0.7566100205850633,1,1,,,,,,,,,H1_1374013596.8_32s_cwt.npy
,,1374142716.4,,TP,Signal,0.7659588366780579,1,1,,,,,,,,,H1_1374142716.4_32s_cwt.npy
,,1374568590.9,,TP,Signal,0.7545918238021894,1,1,,,,,,,,,H1_1374568590.9_32s_cwt.npy
,,1374654199.2,,TP,Signal,0.755563846337515,1,1,,,,,,,,,H1_1374654199.2_32s_cwt.npy
,,1375068854.4,,TP,Signal,0.7190907011007637,1,1,,,,,,,,,H1_1375068854.4_32s_cwt.npy
,,1375242172.0,,TP,Signal,0.6940466761994322,1,1,,,,,,,,,H1_1375242172.0_32s_cwt.npy
,,1375389643.9,,TP,Signal,0.686890838585968,1,1,,,,,,,,,H1_1375389643.9_32s_cwt.npy
,,1375476647.4,,TP,Signal,0.7478729805698999,1,1,,,,,,,,,H1_1375476647.4_32s_cwt.npy
,,1375759278.3,,TP,Signal,0.7727822937915659,1,1,,,,,,,,,H1_1375759278.3_32s_cwt.npy
,,1376029162.5,,TP,Signal,0.7644878594526333,1,1,,,,,,,,,H1_1376029162.5_32s_cwt.npy
